ts	imei	mwra	p.android.documentsui	p.system	p.android.settings	p.android.chrome	p.android.externalstorage	p.android.gm	p.android.packageinstaller	p.inputmethod.latin	p.olauncher	p.google	p.process.gapps	p.katana	p.gms.persistent	p.android.defcontainer	p.browser.provider	p.simulator	p.notifier	p.android.vending	p.dogalize	p.android.gms
2018-05-05 10:00:00	3590433799317661479	0.00000	14.93158	13.47713	10.51391	15.73499	14.71386	9.88481	9.15762	51.38905	0.23241	43.22955	31.46173	75.73633	17.18109	28.63863	86.03245	87.66743	22.50267	62.67423	85.26363	47.83375
2018-05-05 10:01:00	3590433799317661115	1.00000	15.37789	10.48076	7.24354	9.60153	10.89773	14.42057	12.24721	38.29741	0.36304	38.15635	57.78407	88.65165	0.35403	37.70733	50.73157	22.83300	20.08413	45.59394	42.29871	32.98469
2018-05-05 10:02:00	359043379931766155	0.00000	14.09049	15.09701	11.13193	15.57847	10.92102	11.49681	13.91882	69.97169	0.10027	51.37439	39.65381	80.18738	92.40107	69.92029	58.19673	77.88785	71.49623	9.73326	12.17514	79.96124
2018-05-05 10:03:00	3590433799317661040	0.00000	17.65116	15.78441	8.08873	12.00361	14.08151	9.77671	8.83181	62.36807	3.52570	44.77145	47.65908	65.78662	8.17850	21.81412	28.87156	70.59531	19.30408	28.30924	85.76963	90.10998
2018-05-05 10:04:00	8630330696303481669	1.00000	9.57859	9.37637	17.19974	8.01502	10.33320	8.34208	11.38305	64.27147	0.00110	61.42123	47.05190	32.27816	35.86468	93.24048	16.82238	3.86695	19.23138	72.90849	75.26363	81.45468
2018-05-05 10:05:00	8630330696303482287	1.00000	15.27022	12.09072	12.80351	9.81266	10.01337	11.57760	8.49046	59.58611	0.32598	60.46288	35.19314	48.83584	99.33359	45.16352	86.90626	12.10980	83.10486	18.62359	8.58492	40.45119
2018-05-05 10:06:00	3590433799317661321	1.00000	13.93504	8.09222	11.68436	8.66901	7.90604	12.52895	18.35581	64.92514	0.08581	51.08838	46.89544	73.53939	75.67949	45.74547	34.68818	84.08662	96.00174	16.72932	49.41049	65.08153
2018-05-05 10:07:00	3590433799317661669	1.00000	12.64835	11.26574	12.39276	10.85047	12.63178	10.26888	8.68689	67.07186	0.02371	56.02139	40.40078	10.40176	21.35946	29.30875	27.22666	56.49714	47.53600	34.96743	71.80379	25.02451
2018-05-05 10:08:00	863033069630348107	1.00000	11.95758	14.32893	10.40032	12.55039	11.56074	9.26569	6.27303	50.47255	0.01182	34.87310	74.13219	64.93500	61.07046	42.05779	56.35773	82.85584	75.35464	29.14578	93.11713	74.65346
2018-05-05 10:09:00	8630330696303481743	0.00000	13.61032	11.45779	9.06150	12.61712	11.78739	8.51827	8.32730	53.20319	0.06198	65.39029	49.72338	47.93751	44.04411	89.97523	67.38598	76.09412	21.69750	90.42171	54.89896	87.57536
