ts	imei	mwra	c.android.gm	c.android.chrome	c.dogalize	c.katana	c.android.youtube	c.android.vending	c.updateassist	c.UCMobile.intl	c.raider	c.UCMobile.x86
2018-05-05 10:00:00	3590433799317661479	0.00000	7.58999	10.10690	13.15797	9.38358	12.97598	36.79370	93.07163	49.48807	49.89508	98.53288
2018-05-05 10:01:00	3590433799317661115	1.00000	13.90744	11.08136	10.56072	11.35434	13.32609	45.54295	25.35344	12.25272	40.96505	89.22454
2018-05-05 10:02:00	359043379931766155	0.00000	12.07737	9.28159	11.69018	9.33765	13.66042	31.33313	57.10267	15.59104	10.05703	15.64089
2018-05-05 10:03:00	3590433799317661040	0.00000	11.93742	9.87723	14.49817	10.41657	15.17780	32.24723	67.04176	27.06914	91.52950	67.54428
2018-05-05 10:04:00	8630330696303481669	1.00000	7.91094	14.34135	11.03992	16.50329	7.84216	63.95286	65.50634	44.55535	79.41878	77.33712
2018-05-05 10:05:00	8630330696303482287	1.00000	6.71015	10.29315	14.00158	9.71341	10.17875	49.13820	75.48653	37.70696	15.23674	61.48293
2018-05-05 10:06:00	3590433799317661321	1.00000	12.71393	10.74495	15.06309	10.88633	11.56131	20.34075	68.82834	81.43117	62.69692	32.46918
2018-05-05 10:07:00	3590433799317661669	1.00000	8.09011	11.19027	13.10102	11.02392	10.36786	40.31615	44.28489	9.92928	8.41915	12.35210
2018-05-05 10:08:00	863033069630348107	1.00000	7.95407	11.55582	11.41805	10.82175	8.23281	50.77875	60.68513	58.24953	24.25746	51.22102
2018-05-05 10:09:00	8630330696303481743	0.00000	13.95622	9.30564	14.52690	10.38609	11.75911	38.95224	69.30441	8.39095	41.32817	67.82073
2018-05-05 10:10:00	3590433799317661321	0.00000	11.39731	11.08533	6.45961	10.80492	10.97967	27.10850	75.23014	11.43310	35.61887	93.70164
2018-05-05 10:11:00	359043379931766973	1.00000	11.55303	16.20974	11.98774	18.92290	8.01571	41.65541	48.94961	2.01866	27.36525	51.14438
2018-05-05 10:12:00	3590433799317661347	1.00000	9.70699	17.68983	12.66348	16.75203	7.07418	60.94790	30.82852	85.40716	25.18066	35.15806
2018-05-05 10:13:00	359043379931766296	1.00000	6.49464	13.35622	12.32284	10.46543	11.76679	37.90037	54.76463	42.56800	30.46137	34.02206
2018-05-05 10:14:00	8630330696303482071	1.00000	9.72809	14.18892	13.49397	14.63103	10.45907	37.74023	59.11181	51.15771	60.68504	14.81937
2018-05-05 10:15:00	8630330696303481529	1.00000	11.90805	10.99100	12.91268	16.81980	13.48513	70.99827	75.66123	62.77739	81.01489	30.47975
2018-05-05 10:16:00	3590433799317661891	0.00000	9.63113	12.51349	15.16731	9.94517	11.05506	45.43687	65.26210	20.81936	80.04328	44.59927
2018-05-05 10:17:00	359043379931766809	1.00000	8.14282	14.83615	10.40791	13.65143	9.01221	49.53187	77.11574	38.32508	99.39342	54.84826
2018-05-05 10:18:00	8630330696303481230	0.00000	7.80368	11.15954	16.60617	9.39831	11.65611	43.00927	30.06002	40.91007	64.14917	25.31534
2018-05-05 10:19:00	863033069630348156	1.00000	14.34323	9.52217	18.24591	9.42222	11.87989	48.50265	43.78171	29.42387	58.20009	13.37375
2018-05-05 10:20:00	359043379931766742	1.00000	12.27830	10.52599	11.42717	11.20318	15.47453	63.91008	61.81220	39.49141	72.79900	61.87019
2018-05-05 10:21:00	3590433799317661495	1.00000	11.32621	11.31117	13.95577	11.71917	10.50168	40.91251	52.02508	93.80477	20.25679	18.01912
2018-05-05 10:22:00	863033069630348305	1.00000	13.60809	11.10413	9.28049	11.97486	13.78643	60.68826	45.43833	73.06978	53.62177	19.18084
2018-05-05 10:23:00	359043379931766452	0.00000	15.77679	8.97862	14.01116	10.00708	12.15581	68.84813	43.05295	47.56536	97.68243	0.74463
2018-05-05 10:24:00	8630330696303482253	1.00000	11.75856	10.91523	13.45002	13.90226	12.27905	50.75019	44.87720	76.28774	68.59260	67.45490
