latitude	longitude	store_name	code	location	imei
4.73245	-74.26419	Madrid	CO	America/Bogota	863033069630348750
39.08367	-84.50855	Covington	US	America/New_York	359043379931766106
40.78206	72.34424	Andijon	UZ	Asia/Tashkent	359043379931766080
51.21667	6.26667	Schwalmtal	DE	Europe/Berlin	3590433799317662097
-20.88231	55.4504	Saint-Denis	RE	Indian/Reunion	359043379931766858
39.33427	-76.43941	Middle River	US	America/New_York	3590433799317661834
14.67751	-60.94228	Le Robert	MQ	America/Martinique	3590433799317661784
53.63333	9.85	Halstenbek	DE	Europe/Berlin	8630330696303481156
36.72544	3.55665	Thenia	DZ	Africa/Algiers	863033069630348412
39.72943	-104.83192	Aurora	US	America/Denver	359043379931766882
50.80904	8.77069	Marburg an der Lahn	DE	Europe/Berlin	3590433799317662253
3.51667	11.5	Mbalmayo	CM	Africa/Douala	3590433799317662055
-8.66667	-35.71667	Catende	BR	America/Recife	359043379931766957
27.9247	78.40102	Chharra	IN	Asia/Kolkata	8630330696303482097
58.63667	59.80222	Lesnoy	RU	Asia/Yekaterinburg	359043379931766551
43.2907	5.4384	Marseille 11	FR	Europe/Paris	863033069630348263
34.95303	-120.43572	Santa Maria	US	America/Los_Angeles	8630330696303481628
42.4251	-71.06616	Malden	US	America/New_York	8630330696303482204
33.08014	-83.2321	Milledgeville	US	America/New_York	8630330696303482253
32.17629	75.06583	Fazilpur	PK	Asia/Karachi	359043379931766676
50.71229	4.52529	Rixensart	BE	Europe/Brussels	8630330696303481594
42.97086	-82.42491	Port Huron	US	America/Detroit	8630330696303481339
31.20176	29.91582	Alexandria	EG	Africa/Cairo	8630330696303481743
41.24264	16.50104	Bisceglie	IT	Europe/Rome	8630330696303481024
49.5099	6.74549	Losheim	DE	Europe/Berlin	8630330696303481529
45.16024	-93.08883	Lino Lakes	US	America/Chicago	359043379931766205
40.11583	67.84222	Jizzax	UZ	Asia/Samarkand	3590433799317661768
-34.64966	-58.38341	Barracas	AR	America/Argentina/Buenos_Aires	8630330696303481263
16.68911	98.50893	Myawadi	MM	Asia/Yangon	863033069630348206
43.31667	-2.68333	Gernika-Lumo	ES	Europe/Madrid	359043379931766965
42.35843	-71.05977	Boston	US	America/New_York	3590433799317661321
-8.66667	-35.71667	Catende	BR	America/Recife	8630330696303481883
27.71809	-82.35176	Sun City Center	US	America/New_York	863033069630348396
6.46838	-73.26022	Socorro	CO	America/Bogota	359043379931766213
28.90054	-81.26367	Deltona	US	America/New_York	359043379931766007
43.48961	-8.2194	Ferrol	ES	Europe/Madrid	8630330696303482204
41.15376	-87.88754	Bourbonnais	US	America/Chicago	8630330696303481867
38.37255	34.02537	Aksaray	TR	Europe/Istanbul	8630330696303481370
60.02427	30.28491	Kolomyagi	RU	Europe/Moscow	8630330696303481420
53.94313	10.30215	Bad Segeberg	DE	Europe/Berlin	3590433799317661776
49.195061	16.606836	Brno	CZ	Europe/Prague	863033069630348636
45.99194	29.41824	Artsyz	UA	Europe/Kyiv	8630330696303482469
38.17492	-122.2608	American Canyon	US	America/Los_Angeles	359043379931766122
4.73245	-74.26419	Madrid	CO	America/Bogota	3590433799317661040
-3.74912	-73.25383	Iquitos	PE	America/Lima	3590433799317661560
-8.76194	-63.90389	Porto Velho	BR	America/Porto_Velho	3590433799317662162
34.09668	-117.71978	Claremont	US	America/Los_Angeles	3590433799317661560
8.48714	-13.2356	Freetown	SL	Africa/Freetown	863033069630348529
29.21399	78.95693	Kashipur	IN	Asia/Kolkata	3590433799317661925
35.06544	1.04945	Frenda	DZ	Africa/Algiers	359043379931766643
53.5942	25.8191	Novogrudok	BY	Europe/Minsk	3590433799317661859
5.27247	-3.59625	Bonoua	CI	Africa/Abidjan	863033069630348925
40.2737	-76.88442	Harrisburg	US	America/New_York	3590433799317661578
5.6561	-75.87877	Andes	CO	America/Bogota	359043379931766726
43.41949	77.0202	Otegen Batyra	KZ	Asia/Almaty	863033069630348180
37.73222	115.70111	Hengshui	CN	Asia/Shanghai	359043379931766775
24.05979	77.40858	Leteri	IN	Asia/Kolkata	863033069630348339
10.15031	-73.9614	El Copey	CO	America/Bogota	3590433799317662279
40.92298	14.30935	Afragola	IT	Europe/Rome	863033069630348743
43.83125	5.03586	Cavaillon	FR	Europe/Paris	3590433799317662188
12.35275	121.06761	San Jose	PH	Asia/Manila	8630330696303482022
32.35126	-95.30106	Tyler	US	America/Chicago	359043379931766031
-11.94306	-76.70944	Chosica	PE	America/Lima	3590433799317661552
-27.50578	153.10236	Carindale	AU	Australia/Brisbane	359043379931766460
43.61092	3.87723	Montpellier	FR	Europe/Paris	863033069630348842
9.92787	-84.13722	San Rafael	CR	America/Costa_Rica	359043379931766130
54.90083	38.07083	Stupino	RU	Europe/Moscow	3590433799317661537
52.2	8.63333	Kirchlengern	DE	Europe/Berlin	3590433799317661131
35.815	139.6853	Shimotoda	JP	Asia/Tokyo	8630330696303482261
48.77644	2.29026	Sceaux	FR	Europe/Paris	3590433799317661636
-5.85746	144.23058	Mount Hagen	PG	Pacific/Port_Moresby	863033069630348313
41.47892	-87.45476	Schererville	US	America/Chicago	3590433799317662204
40.93121	-73.89875	Yonkers	US	America/New_York	8630330696303481503
41.55838	-81.56929	Collinwood	US	America/New_York	8630330696303481719
53.49389	-1.29243	Mexborough	GB	Europe/London	359043379931766296
12.37169	123.62494	Masbate	PH	Asia/Manila	3590433799317661917
14.37395	100.48528	Bang Ban	TH	Asia/Bangkok	8630330696303481636
-3.14306	-58.44417	Itacoatiara	BR	America/Manaus	3590433799317662444
12.04161	75.35927	Talipparamba	IN	Asia/Kolkata	8630330696303481164
55.38752	36.73307	Naro-Fominsk	RU	Europe/Moscow	863033069630348917
51.04962	12.1369	Zeitz	DE	Europe/Berlin	3590433799317661263
9.89206	43.38531	Baki	SO	Africa/Mogadishu	8630330696303481438
43.50891	16.43915	Split	HR	Europe/Zagreb	359043379931766171
43.32393	5.4584	Les Olives	FR	Europe/Paris	3590433799317661040
41.75338	-86.11084	Granger	US	America/Indiana/Indianapolis	8630330696303481818
-28.81833	-52.51028	Soledade	BR	America/Sao_Paulo	863033069630348362
