mwra	c.android.gm	c.android.chrome	c.dogalize	c.katana	c.android.youtube	p.android.documentsui	p.system	p.android.chrome	p.android.externalstorage	p.android.gm	p.android.packageinstaller	p.olauncher
1.0	8.89757	16.90399	10.75583	14.28108	9.91157	9.8639	6.67867	5.28905	9.13509	9.7943	9.73473	0.00152
1.0	14.92832	9.93103	17.87523	12.97532	8.16303	14.52329	12.0417	9.03003	10.68219	12.27897	17.76576	0.15451
1.0	8.67892	12.4756	12.50135	11.97635	8.13608	15.36568	7.49349	8.39513	7.5531	10.55846	8.91107	0.16342249999999997
0.0	11.13985	8.66033	11.44948	7.81045	13.35144	14.3119	12.72978	12.27393	13.05746	10.74132	8.50907	0.12501
1.0	10.9077	10.22919	11.09186	13.0229	13.26959	15.45819	7.97889	7.21105	9.69472	14.13335	14.99644	0.027995
1.0	16.81686	12.46527	13.46113	11.32302	11.09277	14.9766	12.59307	12.841	9.2133	12.72873	13.76728	0.16342249999999997
0.0	11.50062	9.56224	11.10463	8.39333	12.32564	13.26526	15.41702	12.6957	10.99087	12.48753	10.24406	0.04387
1.0	10.20063	9.53359	12.739	14.51121	14.37512	14.72424	10.41289	7.0882	11.54278	12.6624	14.13868	0.16342249999999997
0.0	15.14282	10.16009	10.09471	9.25925	16.67718	11.73707	10.59953	12.49461	5.30917	12.20835	11.62019	0.00954
1.0	17.62348	12.38668	14.4277	14.54216	8.91514	12.94899	11.54719	10.56663	7.68951	12.87868	17.28243	0.032
1.0	10.76307	10.04462	13.86494	11.888324486169996	10.68444	10.38535	12.30878	6.00997	10.077	11.73982	10.23378	0.00247
1.0	13.2081	8.9239	10.64763	9.65942	15.91028	16.00352	6.8924	8.66342	10.63323	15.77759	11.336042092208142	0.027995
1.0	14.38962	8.99321	12.45583	11.31855	13.16248	14.66752	8.8614	8.08147	11.22843	14.70505	16.61188	0.16342249999999997
1.0	9.54725	15.58118	9.81645	17.52726	6.61774	8.43693	7.65499	4.08565	6.54777	9.5783	14.03137	0.00043
1.0	8.14895	15.80636	11.43091	13.98476	10.73386	8.96204	8.53151	6.00545	11.72441	12.25109	11.08596	0.00061
1.0	11.93547	15.30935	14.74385	13.81364	10.92421	12.57731	9.91476	10.28778	10.43373	9.60056	9.30765	0.02204
1.0	13.13998	10.386155	16.04157	16.09039	9.85388	12.01879	9.91755	3.93622	10.57816	6.84545	10.27948	0.01269
0.0	10.53412	10.41218	14.25277	13.65595	12.02274	10.49646	8.31299	6.62665	9.77261	11.13117	13.3862	0.00271
1.0	13.88492	6.32111	10.21063	15.48413	17.61607	16.42597	11.8715	6.35006	9.13732	14.59356	14.96698	0.027995
1.0	8.05433	13.70395	14.88518	13.17503	10.71584	14.6335	8.55348	7.7508	9.33743	11.22551	11.04411	0.16342249999999997
0.0	12.10683	10.69341	9.83904	11.33809	13.68788	11.44735	10.46592	11.14377	9.2002	6.66894	15.95555	0.00714
1.0	7.92208	12.31022	10.19806	15.55213	10.29683	12.08062	4.40232	12.21653	7.46652	11.76534	12.77687	0.01342
1.0	7.88301	12.53905	12.65115	12.40954	11.60016	12.56449	6.8432	9.29626	10.44617	9.3934	9.74671	0.02181
1.0	12.66716	7.88365	10.87577	8.21611	15.58958	13.92821	8.58938	11.07861	6.31907	16.47248	13.32822	0.08522
0.0	13.291	10.9225	10.992	8.39649	13.91339	15.833	17.39208	13.64197	11.6381	10.60502	10.36928	0.027995
0.0	11.6185	9.44923	12.86882	8.04533	13.45919	12.36087	11.64711	13.75026	10.29294	11.94234	12.29861	0.0178
0.0	12.60841	10.48892	11.2159	7.23895	11.28093	13.95384	11.92807	12.21504	9.81414	9.36715	9.47365	0.0875
1.0	12.13837	8.42229	11.06764	7.62492	11.2946	12.54455	10.38964	11.75637	10.73629	9.06409	11.12434	0.02141
0.0	13.48203	11.70268	12.03097	8.12831	12.0577	13.81552	16.70971	12.32549	12.16124	10.79519	11.44396	0.07615
